,ride_id,seat_number,travel_from,max_capacity,travel_time_in_seconds,car_type_Bus,car_type_shuttle,payment_method_Cash,payment_method_Mpesa,new_time_frame
49,5781,0,363,1,429,1,0,0,1,334
50,5803,0,306,0,310,0,1,0,1,100
51,5781,0,363,1,429,1,0,0,1,334
52,5804,0,280,0,650,0,1,0,1,334
53,5803,0,306,0,310,0,1,0,1,100
54,5803,0,306,0,310,0,1,0,1,100
55,5803,0,306,0,310,0,1,0,1,100
56,5803,0,306,0,310,0,1,0,1,100
57,5803,0,306,0,310,0,1,0,1,100
58,5803,0,306,0,310,0,1,1,0,100
59,5803,0,306,0,310,0,1,0,1,100
60,5777,0,363,1,430,1,0,0,1,334
61,5803,0,306,0,310,0,1,0,1,100
62,5777,0,363,1,430,1,0,0,1,334
63,5778,0,371,1,432,1,0,0,1,334
64,5781,0,363,1,429,1,0,0,1,334
65,5781,0,363,1,429,1,0,0,1,334
66,5781,0,363,1,429,1,0,0,1,334
67,5781,0,363,1,429,1,0,0,1,334
68,5808,0,306,1,426,1,0,0,1,100
69,5808,0,306,1,426,1,0,0,1,100
70,5809,0,306,0,651,0,1,0,1,100
71,5810,0,306,0,435,0,1,0,1,100
72,5781,0,363,1,429,1,0,0,1,334
73,5811,0,306,0,500,0,1,0,1,100
74,5812,0,306,0,330,0,1,0,1,100
75,5781,0,363,1,429,1,0,0,1,334
76,5816,0,306,0,310,0,1,0,1,100
77,5797,0,280,1,426,1,0,0,1,334
78,5817,0,306,0,300,0,1,1,0,100
79,5781,0,363,1,429,1,0,0,1,334
80,5822,0,306,1,426,1,0,0,1,100
81,5823,0,306,0,400,0,1,0,1,100
82,5823,0,306,0,400,0,1,0,1,100
83,5824,0,306,0,500,0,1,0,1,100
84,5825,0,306,1,1143,1,0,0,1,100
85,5826,0,306,0,330,0,1,0,1,100
86,5781,0,363,1,429,1,0,0,1,334
87,5781,0,363,1,429,1,0,0,1,334
88,5781,0,363,1,429,1,0,0,1,334
89,5830,0,306,0,320,0,1,0,1,100
90,5778,0,371,1,432,1,0,0,1,334
91,5778,0,371,1,432,1,0,0,1,334
92,5781,0,363,1,429,1,0,0,1,334
93,5781,0,363,1,429,1,0,0,1,334
94,5834,0,306,1,422,1,0,0,1,100
95,5835,0,306,0,400,0,1,0,1,100
96,5836,0,306,0,410,0,1,0,1,100
97,5837,0,306,1,426,1,0,0,1,100
98,5835,0,306,0,400,0,1,0,1,100
99,5838,0,306,0,390,0,1,0,1,100
100,5839,0,306,0,440,0,1,0,1,100
101,5840,0,306,0,330,0,1,0,1,100
102,5781,0,363,1,429,1,0,0,1,334
103,5844,0,306,0,310,0,1,0,1,100
104,5845,0,306,0,300,0,1,0,1,100
105,5778,0,371,1,432,1,0,0,1,334
106,5849,0,306,1,426,1,0,0,1,100
107,5850,0,306,1,424,1,0,0,1,100
108,5851,0,306,1,1145,1,0,0,1,100
109,5852,0,306,0,435,0,1,0,1,100
110,5853,0,306,0,330,0,1,0,1,100
111,5856,0,306,0,320,0,1,1,0,100
112,5857,0,306,0,300,0,1,1,0,100
113,5857,0,306,0,300,0,1,1,0,100
114,5857,0,306,0,300,0,1,1,0,100
115,5857,0,306,0,300,0,1,0,1,100
116,5778,0,371,1,432,1,0,0,1,334
117,5856,0,306,0,320,0,1,1,0,100
118,5856,0,306,0,320,0,1,0,1,100
119,5856,0,306,0,320,0,1,0,1,100
120,5856,0,306,0,320,0,1,0,1,100
121,5856,0,306,0,320,0,1,0,1,100
122,5856,0,306,0,320,0,1,0,1,100
123,5856,0,306,0,320,0,1,0,1,100
124,5856,0,306,0,320,0,1,0,1,100
125,5856,0,306,0,320,0,1,0,1,100
126,5856,0,306,0,320,0,1,0,1,100
127,5858,0,306,0,310,0,1,0,1,100
128,5858,0,306,0,310,0,1,0,1,100
129,5858,0,306,0,310,0,1,0,1,100
130,5858,0,306,0,310,0,1,0,1,100
131,5858,0,306,0,310,0,1,0,1,100
132,5858,0,306,0,310,0,1,0,1,100
133,5858,0,306,0,310,0,1,0,1,100
134,5858,0,306,0,310,0,1,0,1,100
135,5858,0,306,0,310,0,1,0,1,100
136,5858,0,306,0,310,0,1,0,1,100
137,5858,0,306,0,310,0,1,0,1,100
138,5781,0,363,1,429,1,0,0,1,334
139,5778,0,371,1,432,1,0,0,1,334
140,5778,0,371,1,432,1,0,0,1,334
141,5861,0,306,1,1144,1,0,0,1,100
142,5862,0,306,1,424,1,0,0,1,100
143,5863,0,306,0,400,0,1,0,1,100
144,5864,0,306,0,330,0,1,0,1,100
145,5778,0,371,1,432,1,0,0,1,334
146,5778,0,371,1,432,1,0,0,1,334
147,5778,0,371,1,432,1,0,0,1,334
148,5778,0,371,1,432,1,0,0,1,334
149,5778,0,371,1,432,1,0,0,1,334
150,5778,0,371,1,432,1,0,0,1,334
151,5778,0,371,1,432,1,0,0,1,334
152,5867,0,306,0,310,0,1,0,1,100
153,5867,0,306,0,310,0,1,0,1,100
154,5778,0,371,1,432,1,0,0,1,334
155,5867,0,306,0,310,0,1,0,1,100
156,5778,0,371,1,432,1,0,0,1,334
157,5867,0,306,0,310,0,1,0,1,100
158,5778,0,371,1,432,1,0,0,1,334
159,5867,0,306,0,310,0,1,0,1,100
160,5868,0,306,0,320,0,1,0,1,100
161,5868,0,306,0,320,0,1,0,1,100
162,5778,0,371,1,432,1,0,0,1,334
163,5867,0,306,0,310,0,1,0,1,100
164,5867,0,306,0,310,0,1,0,1,100
165,5867,0,306,0,310,0,1,0,1,100
166,5867,0,306,0,310,0,1,0,1,100
167,5868,0,306,0,320,0,1,0,1,100
168,5868,0,306,0,320,0,1,0,1,100
169,5868,0,306,0,320,0,1,0,1,100
170,5778,0,371,1,432,1,0,0,1,334
171,5781,0,363,1,429,1,0,0,1,334
172,5868,0,306,0,320,0,1,0,1,100
173,5778,0,371,1,432,1,0,0,1,334
174,5873,0,306,1,419,1,0,0,1,100
175,5874,0,306,1,426,1,0,0,1,100
176,5874,0,306,1,426,1,0,0,1,100
177,5874,0,306,1,426,1,0,0,1,100
178,5874,0,306,1,426,1,0,0,1,100
179,5875,0,371,1,428,1,0,0,1,334
180,5876,0,306,0,340,0,1,0,1,100
181,5874,0,306,1,426,1,0,0,1,100
182,5878,0,306,0,330,0,1,0,1,100
183,5878,0,306,0,330,0,1,0,1,100
184,5880,0,306,0,320,0,1,0,1,100
185,5778,0,371,1,432,1,0,0,1,334
186,5881,0,306,0,300,0,1,1,0,100
187,5882,0,306,0,310,0,1,0,1,100
188,5882,0,306,0,310,0,1,0,1,100
189,5882,0,306,0,310,0,1,0,1,100
190,5882,0,306,0,310,0,1,0,1,100
191,5880,0,306,0,320,0,1,0,1,100
192,5880,0,306,0,320,0,1,0,1,100
193,5880,0,306,0,320,0,1,0,1,100
194,5880,0,306,0,320,0,1,0,1,100
195,5880,0,306,0,320,0,1,0,1,100
196,5880,0,306,0,320,0,1,0,1,100
197,5880,0,306,0,320,0,1,0,1,100
198,5875,0,371,1,428,1,0,0,1,334
199,5880,0,306,0,320,0,1,0,1,100
200,5880,0,306,0,320,0,1,0,1,100
201,5875,0,371,1,428,1,0,0,1,334
202,5880,0,306,0,320,0,1,0,1,100
203,5886,0,306,0,540,0,1,0,1,100
204,5887,0,306,1,426,1,0,0,1,100
205,5888,0,306,1,434,1,0,0,1,100
206,5889,0,306,1,427,1,0,0,1,100
207,5890,0,306,0,330,0,1,0,1,100
208,5781,0,363,1,429,1,0,0,1,334
209,5781,0,363,1,429,1,0,0,1,334
210,5778,0,371,1,432,1,0,0,1,334
211,5894,0,306,0,300,0,1,1,0,100
212,5894,0,306,0,300,0,1,0,1,100
213,5894,0,306,0,300,0,1,0,1,100
214,5894,0,306,0,300,0,1,0,1,100
215,5894,0,306,0,300,0,1,0,1,100
216,5894,0,306,0,300,0,1,0,1,100
217,5894,0,306,0,300,0,1,0,1,100
218,5894,0,306,0,300,0,1,0,1,100
219,5894,0,306,0,300,0,1,0,1,100
220,5894,0,306,0,300,0,1,0,1,100
221,5897,0,306,0,320,0,1,0,1,100
222,5897,0,306,0,320,0,1,0,1,100
223,5897,0,306,0,320,0,1,0,1,100
224,5778,0,371,1,432,1,0,0,1,334
225,5897,0,306,0,320,0,1,0,1,100
226,5897,0,306,0,320,0,1,0,1,100
227,5897,0,306,0,320,0,1,0,1,100
228,5897,0,306,0,320,0,1,0,1,100
229,5894,0,306,0,300,0,1,1,0,100
230,5781,0,363,1,429,1,0,0,1,334
231,5897,0,306,0,320,0,1,0,1,100
232,5897,0,306,0,320,0,1,0,1,100
233,5898,0,280,0,390,0,1,0,1,334
234,5899,0,294,0,390,0,1,0,1,334
235,5901,0,371,1,435,1,0,0,1,334
236,5901,0,371,1,435,1,0,0,1,334
237,5901,0,371,1,435,1,0,0,1,334
238,5902,0,363,1,424,1,0,0,1,334
239,5901,0,371,1,435,1,0,0,1,334
240,5901,0,371,1,435,1,0,0,1,334
241,5902,0,363,1,424,1,0,0,1,334
242,5902,0,363,1,424,1,0,0,1,334
243,5897,0,306,0,320,0,1,0,1,100
244,5901,0,371,1,435,1,0,0,1,334
245,5901,0,371,1,435,1,0,0,1,334
246,5901,0,371,1,435,1,0,0,1,334
247,5902,0,363,1,424,1,0,0,1,334
248,5901,0,371,1,435,1,0,0,1,334
249,5781,0,363,1,429,1,0,0,1,334
250,5901,0,371,1,435,1,0,0,1,334
251,5902,0,363,1,424,1,0,0,1,334
252,5778,0,371,1,432,1,0,0,1,334
253,5901,0,371,1,435,1,0,0,1,334
254,5778,0,371,1,432,1,0,0,1,334
255,5897,0,306,0,320,0,1,0,1,100
256,5910,0,306,0,310,0,1,0,1,100
257,5910,0,306,0,310,0,1,0,1,100
258,5910,0,306,0,310,0,1,0,1,100
259,5910,0,306,0,310,0,1,0,1,100
260,5910,0,306,0,310,0,1,0,1,100
261,5910,0,306,0,310,0,1,0,1,100
262,5910,0,306,0,310,0,1,0,1,100
263,5910,0,306,0,310,0,1,0,1,100
264,5910,0,306,0,310,0,1,0,1,100
265,5910,0,306,0,310,0,1,0,1,100
266,5910,0,306,0,310,0,1,0,1,100
267,5918,0,306,1,428,1,0,0,1,100
268,5919,0,306,1,480,1,0,0,1,100
269,5920,0,306,1,426,1,0,0,1,100
270,5921,0,306,1,434,1,0,0,1,100
271,5922,0,306,0,590,0,1,0,1,100
272,5923,0,306,0,450,0,1,0,1,100
273,5924,0,306,0,657,0,1,0,1,100
274,5925,0,306,0,330,0,1,0,1,100
275,5928,0,306,0,320,0,1,0,1,100
276,5929,0,306,0,310,0,1,0,1,100
277,5929,0,306,0,310,0,1,0,1,100
278,5929,0,306,0,310,0,1,0,1,100
279,5929,0,306,0,310,0,1,0,1,100
280,5929,0,306,0,310,0,1,0,1,100
281,5929,0,306,0,310,0,1,0,1,100
282,5929,0,306,0,310,0,1,0,1,100
283,5929,0,306,0,310,0,1,0,1,100
284,5778,0,371,1,432,1,0,0,1,334
285,5931,0,306,0,300,0,1,0,1,100
286,5933,0,280,0,510,0,1,0,1,334
287,5940,0,306,1,422,1,0,0,1,100
288,5941,0,306,0,590,0,1,0,1,100
289,5941,0,306,0,590,0,1,0,1,100
290,5941,0,306,0,590,0,1,0,1,100
291,5942,0,306,0,661,0,1,0,1,100
292,5943,0,306,0,390,0,1,0,1,100
293,5944,0,306,1,431,1,0,0,1,100
294,5945,0,306,0,658,0,1,0,1,100
295,5946,0,306,0,330,0,1,0,1,100
296,5947,0,371,1,432,1,0,0,1,334
297,5950,0,363,1,429,1,0,0,1,334
298,5951,0,306,0,310,0,1,0,1,100
299,5951,0,306,0,310,0,1,0,1,100
300,5951,0,306,0,310,0,1,0,1,100
301,5951,0,306,0,310,0,1,0,1,100
302,5950,0,363,1,429,1,0,0,1,334
303,5951,0,306,0,310,0,1,0,1,100
304,5947,0,371,1,432,1,0,0,1,334
305,5951,0,306,0,310,0,1,0,1,100
306,5953,0,306,0,300,0,1,0,1,100
307,5947,0,371,1,432,1,0,0,1,334
308,5957,0,306,1,426,1,0,0,1,100
309,5958,0,306,0,400,0,1,0,1,100
310,5937,0,280,1,426,1,0,0,1,334
311,5959,0,306,0,340,0,1,0,1,100
312,5960,0,306,0,360,0,1,0,1,100
313,5957,0,306,1,426,1,0,0,1,100
314,5961,0,306,0,330,0,1,0,1,100
315,5957,0,306,1,426,1,0,0,1,100
316,5957,0,306,1,426,1,0,0,1,100
317,5947,0,371,1,432,1,0,0,1,334
318,5957,0,306,1,426,1,0,0,1,100
319,5957,0,306,1,426,1,0,0,1,100
320,5950,0,363,1,429,1,0,0,1,334
321,5950,0,363,1,429,1,0,0,1,334
322,5947,0,371,1,432,1,0,0,1,334
323,5964,0,306,0,310,0,1,0,1,100
324,5964,0,306,0,310,0,1,0,1,100
325,5965,0,306,0,300,0,1,0,1,100
326,5950,0,363,1,429,1,0,0,1,334
327,5947,0,371,1,432,1,0,0,1,334
328,5947,0,371,1,432,1,0,0,1,334
329,5969,0,306,1,426,1,0,0,1,100
330,5969,0,306,1,426,1,0,0,1,100
331,5971,0,306,1,1143,1,0,0,1,100
332,5972,0,306,0,390,0,1,0,1,100
333,5972,0,306,0,390,0,1,0,1,100
334,5973,0,306,0,330,0,1,0,1,100
335,5976,0,306,0,310,0,1,0,1,100
336,5976,0,306,0,310,0,1,0,1,100
337,5982,0,306,1,426,1,0,0,1,100
338,5982,0,306,1,426,1,0,0,1,100
339,5982,0,306,1,426,1,0,0,1,100
340,5983,0,306,0,550,0,1,0,1,100
341,5984,0,306,1,423,1,0,0,1,100
342,5982,0,306,1,426,1,0,0,1,100
343,5985,0,306,0,330,0,1,0,1,100
344,5986,0,306,1,424,1,0,0,1,100
345,5988,0,371,1,428,1,0,0,1,334
346,5993,0,306,1,426,1,0,0,1,100
347,5994,0,306,0,418,0,1,0,1,100
348,5995,0,306,0,400,0,1,0,1,100
349,5996,0,306,0,390,0,1,0,1,100
350,5997,0,306,0,665,0,1,0,1,100
351,5998,0,280,0,620,0,1,0,1,334
352,5996,0,306,0,390,0,1,0,1,100
353,6000,0,306,0,330,0,1,0,1,100
354,5947,0,371,1,432,1,0,0,1,334
355,5947,0,371,1,432,1,0,0,1,334
356,6003,0,306,0,310,0,1,0,1,100
357,6003,0,306,0,310,0,1,0,1,100
358,6003,0,306,0,310,0,1,0,1,100
359,6003,0,306,0,310,0,1,0,1,100
360,6003,0,306,0,310,0,1,0,1,100
361,5950,0,363,1,429,1,0,0,1,334
362,5950,0,363,1,429,1,0,0,1,334
363,6008,0,306,1,426,1,0,0,1,100
364,6009,0,306,0,350,0,1,0,1,100
365,6008,0,306,1,426,1,0,0,1,100
366,6010,0,306,0,330,0,1,0,1,100
367,5950,0,363,1,429,1,0,0,1,334
368,6013,0,306,0,300,0,1,0,1,100
369,6015,0,306,0,310,0,1,0,1,100
370,6015,0,306,0,310,0,1,0,1,100
371,6015,0,306,0,310,0,1,0,1,100
372,6015,0,306,0,310,0,1,0,1,100
373,6015,0,306,0,310,0,1,0,1,100
374,6015,0,306,0,310,0,1,0,1,100
375,6015,0,306,0,310,0,1,0,1,100
376,6015,0,306,0,310,0,1,0,1,100
377,5950,0,363,1,429,1,0,0,1,334
378,6019,0,306,1,427,1,0,0,1,100
379,6020,0,306,1,426,1,0,0,1,100
380,6019,0,306,1,427,1,0,0,1,100
381,6021,0,306,1,1145,1,0,0,1,100
382,6022,0,306,0,330,0,1,0,1,100
383,5950,0,363,1,429,1,0,0,1,334
384,5947,0,371,1,432,1,0,0,1,334
385,6029,0,306,1,428,1,0,0,1,100
386,6030,0,306,1,426,1,0,0,1,100
387,6031,0,306,0,360,0,1,0,1,100
388,5947,0,371,1,432,1,0,0,1,334
389,6032,0,306,0,330,0,1,0,1,100
390,6037,0,306,1,426,1,0,0,1,100
391,6038,0,306,1,427,1,0,0,1,100
392,6039,0,306,0,653,0,1,0,1,100
393,6040,0,306,0,340,0,1,0,1,100
394,6041,0,306,0,440,0,1,0,1,100
395,6042,0,306,0,330,0,1,0,1,100
396,6045,0,306,0,300,0,1,1,0,100
397,6049,0,306,1,426,1,0,0,1,100
398,6049,0,306,1,426,1,0,0,1,100
399,6050,0,306,1,432,1,0,0,1,100
400,6051,0,306,0,330,0,1,0,1,100
401,5988,0,371,1,428,1,0,0,1,334
402,5988,0,371,1,428,1,0,0,1,334
403,6055,0,363,1,424,1,0,0,1,334
404,6058,0,306,1,426,1,0,0,1,100
405,6059,0,306,0,590,0,1,0,1,100
406,6055,0,363,1,424,1,0,0,1,334
407,6059,0,306,0,590,0,1,0,1,100
408,6060,0,306,0,330,0,1,0,1,100
409,6065,0,306,1,424,1,0,0,1,100
410,6066,0,306,1,426,1,0,0,1,100
411,6067,0,306,0,600,0,1,0,1,100
412,6068,0,306,0,530,0,1,0,1,100
413,6069,0,306,0,651,0,1,0,1,100
414,6070,0,306,0,330,0,1,0,1,100
415,6073,0,306,0,300,0,1,1,0,100
416,6080,0,306,1,422,1,0,0,1,100
417,6081,0,306,0,654,0,1,0,1,100
418,6082,0,306,0,340,0,1,0,1,100
419,6083,0,306,0,620,0,1,0,1,100
420,6084,0,306,0,330,0,1,0,1,100
421,6085,0,306,0,650,0,1,0,1,100
422,6055,0,363,1,424,1,0,0,1,334
423,6088,0,306,0,300,0,1,0,1,100
424,6089,0,306,0,310,0,1,0,1,100
425,6088,0,306,0,300,0,1,1,0,100
426,6095,0,306,1,426,1,0,0,1,100
427,6096,0,306,0,590,0,1,0,1,100
428,6097,0,306,0,330,0,1,0,1,100
429,6095,0,306,1,426,1,0,0,1,100
430,6097,0,306,0,330,0,1,0,1,100
431,6099,0,306,1,421,1,0,0,1,100
432,6105,0,306,0,310,0,1,0,1,100
433,6106,0,306,0,300,0,1,0,1,100
434,6112,0,306,1,426,1,0,0,1,100
435,6112,0,306,1,426,1,0,0,1,100
436,6113,0,306,0,620,0,1,0,1,100
437,6114,0,306,0,530,0,1,0,1,100
438,6115,0,306,0,400,0,1,0,1,100
439,6116,0,306,0,420,0,1,0,1,100
440,6117,0,306,0,330,0,1,0,1,100
441,6055,0,363,1,424,1,0,0,1,334
442,6122,0,306,0,300,0,1,0,1,100
443,6127,0,306,1,426,1,0,0,1,100
444,6127,0,306,1,426,1,0,0,1,100
445,6128,0,306,1,422,1,0,0,1,100
446,6129,0,306,0,410,0,1,0,1,100
447,6130,0,306,1,427,1,0,0,1,100
448,6131,0,306,0,370,0,1,0,1,100
449,6132,0,280,0,330,0,1,0,1,334
450,6133,0,306,0,330,0,1,0,1,100
451,6134,0,306,0,380,0,1,0,1,100
452,6134,0,306,0,380,0,1,0,1,100
453,6134,0,306,0,380,0,1,0,1,100
454,6134,0,306,0,380,0,1,0,1,100
455,6139,0,306,0,300,0,1,1,0,100
456,6139,0,306,0,300,0,1,1,0,100
457,6143,0,306,1,1143,1,0,0,1,100
458,6144,0,306,1,426,1,0,0,1,100
459,6144,0,306,1,426,1,0,0,1,100
460,6145,0,306,0,370,0,1,0,1,100
461,6146,0,306,0,400,0,1,0,1,100
462,6147,0,306,0,450,0,1,0,1,100
463,6148,0,306,0,330,0,1,0,1,100
464,6149,0,306,0,360,0,1,0,1,100
465,6154,0,306,0,300,0,1,1,0,100
466,6154,0,306,0,300,0,1,1,0,100
467,6154,0,306,0,300,0,1,1,0,100
468,6154,0,306,0,300,0,1,1,0,100
469,6154,0,306,0,300,0,1,1,0,100
470,6162,0,306,1,426,1,0,0,1,100
471,6163,0,306,0,400,0,1,0,1,100
472,6164,0,306,0,530,0,1,0,1,100
473,6162,0,306,1,426,1,0,0,1,100
474,6165,0,306,0,654,0,1,0,1,100
475,6166,0,306,0,610,0,1,0,1,100
476,6167,0,306,0,662,0,1,0,1,100
477,6162,0,306,1,426,1,0,0,1,100
478,6168,0,306,0,440,0,1,0,1,100
479,6169,0,306,0,330,0,1,0,1,100
480,6171,0,306,0,300,0,1,1,0,100
481,6176,0,306,1,426,1,0,0,1,100
482,6176,0,306,1,426,1,0,0,1,100
483,6177,0,306,1,480,1,0,0,1,100
484,6153,0,331,1,425,1,0,0,1,334
485,6177,0,306,1,480,1,0,0,1,100
486,6178,0,306,0,580,0,1,0,1,100
487,6179,0,306,0,500,0,1,0,1,100
488,6180,0,306,0,330,0,1,0,1,100
489,6183,0,306,0,310,0,1,0,1,100
490,6187,0,306,1,1145,1,0,0,1,100
491,6188,0,306,1,480,1,0,0,1,100
492,6189,0,306,1,424,1,0,0,1,100
493,6190,0,306,0,350,0,1,0,1,100
494,6189,0,306,1,424,1,0,0,1,100
495,6191,0,306,0,418,0,1,0,1,100
496,6193,0,306,0,510,0,1,0,1,100
497,6189,0,306,1,424,1,0,0,1,100
498,6194,0,306,1,427,1,0,0,1,100
499,6195,0,306,0,330,0,1,0,1,100
500,6199,0,306,0,310,0,1,0,1,100
501,6200,0,306,0,300,0,1,1,0,100
502,6199,0,306,0,310,0,1,0,1,100
503,6206,0,306,1,426,1,0,0,1,100
504,6206,0,306,1,426,1,0,0,1,100
505,6207,0,306,0,550,0,1,0,1,100
506,6207,0,306,0,550,0,1,0,1,100
507,6207,0,306,0,550,0,1,0,1,100
508,6207,0,306,0,550,0,1,0,1,100
509,6206,0,306,1,426,1,0,0,1,100
510,6206,0,306,1,426,1,0,0,1,100
511,6208,0,306,0,360,0,1,0,1,100
512,6209,0,306,0,340,0,1,0,1,100
513,6208,0,306,0,360,0,1,0,1,100
514,6206,0,306,1,426,1,0,0,1,100
515,6210,0,306,0,370,0,1,0,1,100
516,6210,0,306,0,370,0,1,0,1,100
517,6210,0,306,0,370,0,1,0,1,100
518,6211,0,306,0,330,0,1,0,1,100
519,6212,0,306,0,400,0,1,0,1,100
520,6221,0,306,0,400,0,1,0,1,100
521,6222,0,306,1,426,1,0,0,1,100
522,6222,0,306,1,426,1,0,0,1,100
523,6222,0,306,1,426,1,0,0,1,100
524,6222,0,306,1,426,1,0,0,1,100
525,6222,0,306,1,426,1,0,0,1,100
526,6222,0,306,1,426,1,0,0,1,100
527,6120,0,331,1,434,1,0,0,1,334
528,6223,0,306,1,424,1,0,0,1,100
529,6224,0,306,0,330,0,1,0,1,100
530,6215,0,306,0,310,0,1,0,1,100
531,6226,0,306,0,310,0,1,0,1,100
532,6226,0,306,0,310,0,1,0,1,100
533,6226,0,306,0,310,0,1,0,1,100
534,6126,0,331,1,424,1,0,0,1,334
535,6231,0,306,0,570,0,1,0,1,100
536,6232,0,306,0,500,0,1,0,1,100
537,6153,0,331,1,425,1,0,0,1,334
538,6153,0,331,1,425,1,0,0,1,334
539,6233,0,306,1,432,1,0,0,1,100
540,6234,0,306,0,530,0,1,0,1,100
541,6235,0,306,1,426,1,0,0,1,100
542,6236,0,306,0,470,0,1,0,1,100
543,6237,0,306,1,435,1,0,0,1,100
544,6238,0,306,0,330,0,1,0,1,100
545,6153,0,331,1,425,1,0,0,1,334
546,6239,0,306,1,428,1,0,1,0,100
547,6242,0,306,0,310,0,1,0,1,100
548,6245,0,363,1,424,1,0,0,1,334
549,6245,0,363,1,424,1,0,0,1,334
550,6245,0,363,1,424,1,0,0,1,334
551,6135,0,371,1,432,1,0,0,1,334
552,6251,0,306,1,426,1,0,0,1,100
553,6252,0,306,0,340,0,1,0,1,100
554,6251,0,306,1,426,1,0,1,0,100
555,6253,0,306,1,427,1,0,0,1,100
556,6254,0,306,0,350,0,1,0,1,100
557,6255,0,306,0,330,0,1,0,1,100
558,6261,0,371,1,428,1,0,0,1,334
559,6262,0,306,0,300,0,1,1,0,100
560,6202,0,371,1,435,1,0,0,1,334
561,6245,0,363,1,424,1,0,0,1,334
562,6245,0,363,1,424,1,0,0,1,334
563,6245,0,363,1,424,1,0,0,1,334
564,6267,0,306,1,426,1,0,0,1,100
565,6268,0,306,0,651,0,1,0,1,100
566,6268,0,306,0,651,0,1,0,1,100
567,6269,0,306,0,330,0,1,0,1,100
568,6267,0,306,1,426,1,0,0,1,100
569,6269,0,306,0,330,0,1,0,1,100
570,6245,0,363,1,424,1,0,0,1,334
571,6202,0,371,1,435,1,0,0,1,334
572,6202,0,371,1,435,1,0,0,1,334
573,6202,0,371,1,435,1,0,0,1,334
574,6202,0,371,1,435,1,0,0,1,334
575,6245,0,363,1,424,1,0,0,1,334
576,6243,0,280,1,426,1,0,0,1,334
577,6135,0,371,1,432,1,0,0,1,334
578,6202,0,371,1,435,1,0,0,1,334
579,6135,0,371,1,432,1,0,0,1,334
580,6138,0,363,1,429,1,0,0,1,334
581,6202,0,371,1,435,1,0,0,1,334
582,6245,0,363,1,424,1,0,0,1,334
583,6135,0,371,1,432,1,0,0,1,334
584,6138,0,363,1,429,1,0,0,1,334
585,6138,0,363,1,429,1,0,0,1,334
586,6245,0,363,1,424,1,0,0,1,334
587,6135,0,371,1,432,1,0,0,1,334
588,6202,0,371,1,435,1,0,0,1,334
589,6138,0,363,1,429,1,0,0,1,334
590,6135,0,371,1,432,1,0,0,1,334
591,6245,0,363,1,424,1,0,0,1,334
592,6138,0,363,1,429,1,0,0,1,334
593,6277,0,306,1,426,1,0,0,1,100
594,6277,0,306,1,426,1,0,0,1,100
595,6278,0,306,0,550,0,1,0,1,100
596,6279,0,306,1,424,1,0,0,1,100
597,6277,0,306,1,426,1,0,0,1,100
598,6280,0,306,0,340,0,1,0,1,100
599,6281,0,306,0,330,0,1,0,1,100
600,6282,0,306,0,320,0,1,0,1,100
